match_no,round,team_a,team_a_name,team_b,team_b_name,winner
1,QF,1082,The Black Cats,1189,kacha Badam,
2,QF,1014,Fire Fighter robot,1129,Stardust Jihadists,
3,QF,1186,Code Kra do 2.0,1188,Khatti Toffee,
4,QF,1190,Robot Chala do,1110,Technologia,
5,SF,,,,,
6,SF,,,,,
7,Final,,,,,
